trdmn	mkt_rf	smb	hml	umd	rmw	cma	rf	smb_equal	hml_equal	umd_equal	rmw_equal	cma_equal
2001-06	-0.002168058	0.0083918014	0.020561934	-0.014108797	-0.004975497	0.0108985497	0.001856	0.0015654945	0.0120361715	-0.019845363	0.0036049084	0.0023858201
2001-07	-0.133306911	-0.003183685	-0.008800424	0.030438598	0.0053813265	0.002542149	0.001856	-0.001819613	-0.00689416	0.0158362579	-0.002413351	0.0058809039
2001-08	-0.036158841	0.0158418355	-0.00274247	0.0250959594	0.003755397	0.0040531201	0.001856	0.019565005	-0.006651206	0.0167381584	-0.006478867	0.0133458899
2001-09	-0.057503179	-0.024708766	0.0210092906	-0.027664129	0.0107856502	-0.007374523	0.001856	-0.029693634	0.0079355782	-0.034656453	0.0268888577	-0.028153825
2001-10	-0.051907186	-0.008843763	0.0280754742	-0.012145445	-0.013834816	0.0188900006	0.001856	-0.00231569	0.027786051	-0.008145689	-0.010513759	0.0155304095
2001-11	0.0382426648	0.0256302965	0.0072761887	-0.052119347	-0.014494227	0.0083635222	0.001856	0.0191065056	0.0068616529	-0.054158494	-0.014103188	0.0095917141
2001-12	-0.064428451	-0.020278538	0.0141006181	0.0227542921	0.0575287799	-0.033098395	0.001856	-0.014615631	0.0137585146	0.0106261224	0.0495532553	-0.038129995
2002-01	-0.109302284	-0.034324203	-0.000325934	0.0455513481	0.0459921028	-0.032308919	0.001856	-0.026277099	0.0043295532	0.0521641549	0.047833061	-0.03319041
2002-02	0.0273642323	0.0140592118	0.0025737172	-0.051227233	-0.021414954	0.0149664759	0.001635	0.0085290233	-0.009532195	-0.059525776	-0.027458821	0.0241953112
2002-03	0.0653863987	0.0259643665	-0.002572513	-0.045959805	-0.025936901	0.0199332091	0.001635	0.0204588931	-0.003040404	-0.048529752	-0.020971654	0.0155436517
2002-04	0.0393307574	0.0337415598	0.0295607567	-0.021658664	-0.029138352	0.031792808	0.001635	0.0323704113	0.0272449732	-0.020421299	-0.029097483	0.0267072758
2002-05	-0.085001818	0.0008652406	-0.013841976	0.0037021223	-0.012548416	0.0049932762	0.001635	0.0029328532	-0.010007097	0.000947267	-0.014214734	0.008680178
2002-06	0.1244827775	-0.034022027	0.0500251385	-0.018760095	0.0103294309	0.0159524933	0.001635	-0.031096135	0.0472786202	-0.022250528	0.0155024658	-0.00058063
